idlocalidade;nome_localidade;cod_uf
1;Acrelândia;12
2;Assis Brasil;12
3;Brasiléia;12
4;Bujari;12
5;Capixaba;12
6;Cruzeiro do Sul;12
7;Epitaciolândia;12
8;Feijó;12
9;Jordão;12
10;Mâncio Lima;12
11;Manoel Urbano;12
12;Marechal Thaumaturgo;12
13;Plácido de Castro;12
14;Porto Acre;12
15;Porto Walter;12
16;Rio Branco;12
17;Rodrigues Alves;12
18;Santa Rosa do Purus;12
19;Sena Madureira;12
20;Senador Guiomard;12
21;Tarauacá;12
22;Xapuri;12
23;Água Branca;27
26;Anadia;27
30;Arapiraca;27
31;Atalaia;27
36;Barra de Santo Antônio;27
37;Barra de São Miguel;27
40;Batalha;27
42;Belém;27
43;Belo Monte;27
47;Boca da Mata;27
50;Branquinha;27
51;Cacimbinhas;27
53;Cajueiro;27
56;Campestre;27
57;Campo Alegre;27
58;Campo Grande;27
61;Canapi;27
64;Capela;27
65;Carneiros;27
67;Chã Preta;27
68;Coité do Nóia;27
69;Colônia Leopoldina;27
70;Coqueiro Seco;27
71;Coruripe;27
73;Craíbas;27
74;Delmiro Gouveia;27
75;Dois Riachos;27
77;Estrela de Alagoas;27
78;Feira Grande;27
79;Feliz Deserto;27
81;Flexeiras;27
84;Girau do Ponciano;27
85;Ibateguara;27
86;Igaci;27
87;Igreja Nova;27
88;Inhapi;27
89;Jacaré dos Homens;27
90;Jacuípe;27
91;Japaratinga;27
92;Jaramataia;27
94;Joaquim Gomes;27
95;Jundiá;27
96;Junqueiro;27
98;Lagoa da Canoa;27
108;Limoeiro de Anadia;27
109;Maceió;27
110;Major Isidoro;27
111;Mar Vermelho;27
112;Maragogi;27
113;Maravilha;27
114;Marechal Deodoro;27
115;Maribondo;27
117;Mata Grande;27
118;Matriz de Camaragibe;27
119;Messias;27
120;Minador do Negrão;27
121;Monteirópolis;27
124;Murici;27
125;Novo Lino;27
126;Olho D Água Grande;27
127;Olho D Água das Flores;27
129;Olho D Água do Casado;27
131;Olivença;27
132;Ouro Branco;27
133;Palestina;27
135;Palmeira dos Índios;27
136;Pão de Açúcar;27
137;Pariconha;27
138;Paripueira;27
139;Passo de Camaragibe;27
142;Paulo Jacinto;27
143;Penedo;27
144;Piaçabuçu;27
145;Pilar;27
146;Pindoba;27
147;Piranhas;27
150;Poço das Trincheiras;27
151;Porto Calvo;27
152;Porto de Pedras;27
153;Porto Real do Colégio;27
155;Quebrangulo;27
158;Rio Largo;27
160;Roteiro;27
162;Santa Luzia do Norte;27
163;Santana do Ipanema;27
164;Santana do Mundaú;27
166;São Brás;27
167;São José da Laje;27
168;São José da Tapera;27
169;São Luís do Quitunde;27
170;São Miguel dos Campos;27
171;São Miguel dos Milagres;27
172;São Sebastião;27
175;Satuba;27
176;Senador Rui Palmeira;27
181;Tanque D Arca;27
182;Taquarana;27
184;Teotônio Vilela;27
185;Traipu;27
186;União dos Palmares;27
188;Viçosa;27
191;Alvarães;13
193;Amaturá;13
194;Anamã;13
195;Anori;13
196;Apuí;13
198;Atalaia do Norte;13
200;Autazes;13
204;Barcelos;13
205;Barreirinha;13
206;Benjamin Constant;13
207;Beruri;13
208;Boa Vista do Ramos;13
209;Boca do Acre;13
210;Borba;13
211;Caapiranga;13
214;Canutama;13
215;Carauari;13
216;Careiro;13
217;Careiro da Várzea;13
219;Coari;13
220;Codajás;13
222;Eirunepé;13
223;Envira;13
225;Fonte Boa;13
227;Guajará;13
228;Humaitá;13
231;Ipixuna;13
232;Iranduba;13
233;Itacoatiara;13
234;Itamarati;13
235;Itapiranga;13
236;Japurá;13
237;Juruá;13
238;Jutaí;13
239;Lábrea;13
241;Manacapuru;13
242;Manaquiri;13
243;Manaus;13
244;Manicoré;13
245;Maraã;13
247;Maués;13
251;Nhamundá;13
252;Nova Olinda do Norte;13
253;Novo Airão;13
254;Novo Aripuanã;13
256;Parintins;13
257;Pauini;13
259;Presidente Figueiredo;13
261;Rio Preto da Eva;13
262;Santa Isabel do Rio Negro;13
264;Santo Antônio do Içá;13
266;São Gabriel da Cachoeira;13
267;São Paulo de Olivença;13
268;São Sebastião do Uatumã;13
269;Silves;13
270;Tabatinga;13
271;Tapauá;13
272;Tefé;13
273;Tonantins;13
274;Uarini;13
275;Urucará;13
276;Urucurituba;13
280;Amapá;16
281;Pedra Branca do Amaparí;16
287;Calçoene;16
294;Cutias;16
296;Ferreira Gomes;16
303;Itaubal;16
304;Laranjal do Jari;16
307;Macapá;16
308;Mazagão;16
310;Oiapoque;16
312;Porto Grande;16
313;Pracuúba;16
316;Santana;16
322;Tartarugalzinho;16
324;Vitória do Jari;16
326;Abaíra;29
327;Abaré;29
331;Acajutiba;29
335;Adustina;29
339;Água Fria;29
341;Aiquara;29
342;Alagoinhas;29
343;Alcobaça;29
347;Almadina;29
351;Amargosa;29
352;Amélia Rodrigues;29
353;América Dourada;29
355;Anagé;29
356;Andaraí;29
357;Andorinha;29
358;Angical;29
360;Anguera;29
361;Antas;29
362;Antônio Cardoso;29
363;Antônio Gonçalves;29
364;Aporá;29
365;Apuarema;29
366;Araçás;29
367;Aracatu;29
368;Araci;29
369;Aramari;29
371;Arataca;29
372;Aratuípe;29
379;Aurelino Leal;29
380;Baianópolis;29
382;Baixa Grande;29
391;Banzaê;29
394;Barra;29
395;Barra da Estiva;29
396;Barra do Choça;29
398;Barra do Mendes;29
400;Barra do Rocha;29
403;Barreiras;29
404;Barro Alto;29
405;Barro Preto;29
407;Barrocas;29
413;Belmonte;29
414;Belo Campo;29
419;Biritinga;29
421;Boa Nova;29
424;Boa Vista do Tupim;29
427;Bom Jesus da Lapa;29
428;Bom Jesus da Serra;29
431;Boninal;29
432;Bonito;29
433;Boquira;29
434;Botuporã;29
440;Brejões;29
441;Brejolândia;29
442;Brotas de Macaúbas;29
443;Brumado;29
445;Buerarema;29
450;Buritirama;29
451;Caatiba;29
452;Cabaceiras do Paraguaçu;29
455;Cachoeira;29
457;Caculé;29
458;Caém;29
459;Caetanos;29
461;Caetité;29
462;Cafarnaum;29
465;Cairu;29
470;Caldeirão Grande;29
472;Camacan;29
473;Camaçari;29
474;Camamu;29
478;Campo Alegre de Lourdes;29
479;Campo Formoso;29
483;Canápolis;29
484;Canarana;29
486;Canavieiras;29
488;Candeal;29
489;Candeias;29
490;Candiba;29
491;Cândido Sales;29
493;Cansanção;29
495;Canudos;29
498;Capela do Alto Alegre;29
499;Capim Grosso;29
501;Caraíbas;29
505;Caravelas;29
506;Cardeal da Silva;29
507;Carinhanha;29
511;Casa Nova;29
513;Castro Alves;29
516;Catolândia;29
519;Catu;29
521;Caturama;29
523;Central;29
525;Chorrochó;29
526;Cícero Dantas;29
528;Cipó;29
529;Coaraci;29
530;Cocos;29
533;Conceição da Feira;29
534;Conceição do Almeida;29
535;Conceição do Coité;29
536;Conceição do Jacuípe;29
537;Conde;29
538;Condeúba;29
539;Contendas do Sincorá;29
543;Coração de Maria;29
544;Cordeiros;29
545;Coribe;29
546;Coronel João Sá;29
547;Correntina;29
549;Cotegipe;29
551;Cravolândia;29
552;Crisópolis;29
554;Cristópolis;29
556;Cruz das Almas;29
559;Curaçá;29
561;Dário Meira;29
565;Dias D Ávila;29
567;Dom Basílio;29
568;Dom Macedo Costa;29
571;Elísio Medrado;29
572;Encruzilhada;29
575;Entre Rios;29
576;Érico Cardoso;29
577;Esplanada;29
578;Euclides da Cunha;29
579;Eunápolis;29
580;Fátima;29
581;Feira da Mata;29
582;Feira de Santana;29
584;Filadélfia;29
586;Firmino Alves;29
587;Floresta Azul;29
588;Formosa do Rio Preto;29
595;Gandu;29
596;Gavião;29
597;Gentio do Ouro;29
599;Glória;29
600;Gongogi;29
602;Governador Mangabeira;29
605;Guajeru;29
606;Guanambi;29
609;Guaratinga;29
614;Heliópolis;29
618;Iaçu;29
623;Ibiassucê;29
624;Ibicaraí;29
625;Ibicoara;29
626;Ibicuí;29
627;Ibipeba;29
629;Ibipitanga;29
630;Ibiquera;29
634;Ibirapitanga;29
635;Ibirapuã;29
636;Ibirataia;29
637;Ibitiara;29
640;Ibititá;29
644;Ibotirama;29
645;Ichu;29
647;Igaporã;29
651;Igrapiúna;29
653;Iguaí;29
659;Ilhéus;29
662;Inhambupe;29
667;Ipecaetá;29
668;Ipiaú;29
669;Ipirá;29
672;Ipupiara;29
673;Irajuba;29
674;Iramaia;29
676;Iraquara;29
677;Irará;29
678;Irecê;29
681;Itabela;29
682;Itaberaba;29
683;Itabuna;29
684;Itacaré;29
688;Itaeté;29
689;Itagi;29
690;Itagibá;29
691;Itagimirim;29
692;Itaguaçu da Bahia;29
698;Itaju do Colônia;29
700;Itajuípe;29
702;Itamaraju;29
703;Itamari;29
704;Itambé;29
708;Itanagra;29
709;Itanhém;29
711;Itaparica;29
712;Itapé;29
713;Itapebi;29
715;Itapetinga;29
716;Itapicuru;29
718;Itapitanga;29
721;Itaquara;29
723;Itarantim;29
725;Itatim;29
727;Itiruçu;29
728;Itiúba;29
729;Itororó;29
730;Ituaçu;29
731;Ituberá;29
733;Iuiu;29
734;Jaborandi;29
735;Jacaraci;29
736;Jacobina;29
740;Jaguaquara;29
